,0
0,8.551
1,14.199
2,16.003
3,17.073
4,17.785
5,34.922
6,42.733
7,72.682
8,78.975
9,86.26
10,90.344
11,109.722
12,114.579
13,118.076
14,131.967
15,132.673
16,132.906
17,135.061
18,136.501
19,138.558
20,141.223
21,152.941
22,160.505
23,183.001
24,202.52
25,222.516
26,230.561
27,237.134
28,241.645
29,248.464
30,252.644
31,253.128
32,253.615
33,262.989
34,263.481
35,268.771
36,275.257
37,276.06
38,282.288
39,285.639
40,290.587
41,300.223
42,314.388
43,326.707
44,329.224
45,332.953
46,348.41
47,352.38
48,353.341
49,354.545
50,355.995
51,360.07
52,368.405
53,371.513
54,372.23
55,377.288
56,379.581
57,388.91
58,395.298
59,397.476
60,421.114
61,432.266
62,446.391
63,447.84
64,448.809
65,464.443
66,466.478
67,468.998
68,469.723
69,469.962
70,472.493
71,475.027
72,478.141
73,483.093
74,489.071
75,490.9
76,494.005
77,496.401
78,500.842
79,502.291
80,510.516
81,513.699
82,514.912
83,515.884
84,517.089
85,521.116
86,539.075
87,542.41
88,543.49
89,546.383
90,551.503
91,560.647
92,563.384
93,572.33
94,573.881
95,576.535
96,578.461
97,589.316
98,600.053
99,6.359
100,8.613
101,11.14
102,15.844
103,27.878
104,28.463
105,34.682
106,37.705
107,41.17
108,55.276
109,72.206
110,79.129
111,79.492
112,79.973
113,84.628
114,88.251
115,93.659
116,100.791
117,103.608
118,105.849
119,112.999
120,116.685
121,120.529
122,130.487
123,131.549
124,134.551
125,155.976
126,159.684
127,162.456
128,165.231
129,171.806
130,175.608
131,179.71
132,184.461
133,186.226
134,191.139
135,194.485
136,198.302
137,199.26
138,199.499
139,208.396
140,211.28
141,212.713
142,222.348
143,234.512
144,235.477
145,238.366
146,240.908
147,242.936
148,244.749
149,254.301
150,255.628
151,257.196
152,262.828
153,264.137
154,271.801
155,278.042
156,280.439
157,286.673
158,287.631
159,288.112
160,288.468
161,307.1
162,311.924
163,327.321
164,333.206
165,337.295
166,353.189
167,353.784
168,357.618
169,362.053
170,364.468
171,365.551
172,370.115
173,374.052
174,383.88
175,386.514
176,392.274
177,394.19
178,397.528
179,397.765
180,398.002
181,407.243
182,419.921
183,437.126
184,441.352
185,443.874
186,458.724
187,461.496
188,465.472
189,471.705
190,492.016
191,493.107
192,501.335
193,508.384
194,526.582
195,543.285
196,547.114
197,553.03
198,564.395
199,575.259
200,575.738
201,20.021
202,26.572
203,34.617
204,43.904
205,52.46
206,63.105
207,74.629
208,77.628
209,78.105
210,84.987
211,88.348
212,100.444
213,120.72
214,131.335
215,139.938
216,144.383
217,148.467
218,149.792
219,150.503
220,153.629
221,164.844
222,166.177
223,169.548
224,174.007
225,182.726
226,196.111
227,201.036
228,203.2
229,204.407
230,218.502
231,232.777
232,235.973
233,251.418
234,253.825
235,254.669
236,255.378
237,257.886
238,259.211
239,261.367
240,267.124
241,275.37
242,276.82
243,281.765
244,293.496
245,313.637
246,333.314
247,336.402
248,351.045
249,351.524
250,357.303
251,362.131
252,363.468
253,368.506
254,369.584
255,370.539
256,374.826
257,379.985
258,420.526
259,426.026
260,429.353
261,433.341
262,433.942
263,440.041
264,443.936
265,488.819
266,509.364
267,531.652
268,532.498
