,0,1,2,3
0,2.381,0.0,1.926,19.525
1,2.876,1.449,1.912,14.194
2,1.551,1.434,1.447,19.242
3,2.397,1.451,1.503,13.558
4,1.826,2.188,2.158,12.335
5,2.995,2.171,1.813,11.959
6,2.04,1.453,1.576,12.989
7,2.907,2.293,1.8,14.601
8,2.536,1.687,1.789,10.399
9,1.308,1.201,1.55,15.632
10,1.433,1.695,2.634,18.241
11,1.799,1.803,1.545,14.464
12,1.806,1.681,1.193,17.608
13,2.648,2.052,1.918,12.205
14,1.465,1.448,2.886,11.205
15,1.195,1.81,1.71,9.924
16,2.155,1.562,1.57,20.425
17,1.443,1.331,1.448,17.449
18,1.697,1.447,1.784,13.235
19,2.157,1.329,1.319,14.174
20,2.064,1.23,1.489,12.126
21,1.987,1.209,0.0,16.368
22,1.437,1.797,1.447,12.788
23,5.29,0.0,1.681,10.722
24,1.329,2.287,1.463,17.125
25,1.789,2.747,2.054,19.803
26,1.442,1.209,1.574,24.203
27,1.319,1.201,1.92,13.611
28,4.449,0.0,2.76,22.328
29,2.159,1.445,2.627,11.483
30,1.578,1.441,1.331,13.135
31,1.206,1.687,1.93,13.333
32,4.87,0.0,3.003,16.894
33,2.401,1.809,1.092,15.726
34,1.462,1.08,0.0,13.162
35,4.095,0.0,1.685,11.952
36,1.323,1.205,1.683,13.263
37,1.558,1.19,1.31,14.019
38,1.195,1.319,1.433,10.421
39,1.688,1.191,0.0,12.181
40,1.566,1.801,2.027,13.158
41,1.335,1.799,1.805,11.806
42,1.578,1.448,1.321,10.284
43,2.867,1.323,1.46,10.731
44,3.963,0.0,1.195,12.33
45,1.555,1.816,1.09,17.26
46,1.592,1.686,1.206,11.794
47,4.201,0.0,1.684,10.736
48,1.547,1.79,1.559,13.798
49,2.292,1.821,2.884,17.312
50,4.878,1.436,0.603,18.652
51,2.533,1.934,1.327,14.346
52,1.342,1.335,1.336,14.398
53,1.569,1.209,1.687,18.343
54,1.562,1.084,1.441,11.131
55,2.031,2.181,1.934,9.2
56,1.557,1.316,1.81,11.203
57,1.675,1.208,1.209,9.727
58,1.496,1.4,1.583,11.976
59,2.041,1.573,1.323,14.706
60,1.318,1.566,1.457,12.37
61,1.33,1.19,1.209,11.258
62,1.323,1.441,1.568,9.918
63,1.577,1.082,1.694,11.122
64,1.917,1.942,2.75,10.636
65,1.557,1.304,1.087,15.595
66,1.461,1.447,0.0,14.023
67,1.223,1.683,1.329,11.241
68,1.324,1.31,1.335,13.733
69,1.451,1.21,2.136,21.139
70,2.982,1.815,1.457,12.238
71,1.447,1.576,2.429,11.78
72,1.565,1.564,1.698,12.953
73,1.195,1.544,0.0,13.619
74,1.201,1.32,1.317,14.359
