,0
0,28.522
1,21.51
2,27.185
3,21.541
4,21.327
5,20.518
6,20.809
7,23.528
8,19.634
9,23.666
10,27.829
11,22.615
12,25.635
13,21.58
14,19.877
15,17.639
16,27.284
17,24.897
18,20.94
19,21.752
20,19.944
21,21.493
22,20.225
23,18.656
24,24.246
25,28.302
26,31.067
27,20.082
28,30.507
29,20.716
30,20.119
31,21.165
32,26.459
33,22.618
34,18.004
35,18.94
36,21.058
37,20.931
38,16.881
39,18.543
40,23.596
41,19.026
42,17.398
43,18.308
44,18.696
45,25.335
46,22.136
47,17.711
48,20.763
49,25.749
50,26.303
51,21.699
52,20.473
53,24.98
54,18.607
55,17.887
56,18.772
57,16.586
58,18.715
59,20.841
60,19.239
61,17.138
62,16.64
63,17.519
64,19.296
65,21.684
66,19.46
67,17.644
68,19.972
69,28.937
70,19.95
71,19.633
72,20.213
73,19.118
74,21.214
